Date,Close/Last,Volume,Open,High,Low,AdjClose
"Jul 29, 2019",47.19,46366500,45.42,45.21,47.15,47.15
"Jul 26, 2019",46.05,50138500,45.38,44.45,45.61,45.61
"Jul 25, 2019",46.9,112091500,46.7,45.11,45.76,45.76
"Jul 24, 2019",53.21,55364000,51.83,51.63,52.98,52.98
"Jul 23, 2019",52.1,25115500,51.34,50.9,52.03,52.03
"Jul 22, 2019",52.43,34212000,51.75,50.84,51.14,51.14
"Jul 19, 2019",51.99,35242000,51.14,50.92,51.64,51.64
"Jul 18, 2019",51.15,23793000,51.01,50.38,50.71,50.71
"Jul 17, 2019",51.66,48823500,51.13,50.67,50.97,50.97
"Jul 16, 2019",50.71,40745000,49.86,49.59,50.48,50.48
"Jul 15, 2019",50.88,55000500,49.6,48.97,50.7,50.7
"Jul 12, 2019",49.08,46002500,47.95,47.94,49.02,49.02
"Jul 11, 2019",48.3,37572000,47.63,47.16,47.72,47.72
"Jul 10, 2019",47.79,45728500,46.83,46.63,47.78,47.78
"Jul 09, 2019",46.2,30954000,45.79,45.46,46.01,46.01
"Jul 08, 2019",46.45,29402500,46.25,45.73,46.07,46.07
"Jul 05, 2019",47.09,35328500,46.91,46.16,46.62,46.62
"Jul 03, 2019",48.31,71005500,47.88,46.9,46.98,46.98
"Jul 02, 2019",45.83,46295000,45.78,44.44,44.91,44.91
"Jul 01, 2019",46.62,41067000,46.04,45.26,45.43,45.43
"Jun 28, 2019",45.03,34257000,44.2,44.16,44.69,44.69
"Jun 27, 2019",44.58,31698500,43.89,43.47,44.57,44.57
"Jun 26, 2019",45.45,42536000,44.06,43.62,43.85,43.85
"Jun 25, 2019",45.07,30910500,44.88,43.9,43.95,43.95
"Jun 24, 2019",45.17,28754000,44.65,44.2,44.73,44.73
"Jun 21, 2019",44.44,41010500,43.24,43.1,44.37,44.37
"Jun 20, 2019",45.38,59317500,44.6,43.27,43.92,43.92
"Jun 19, 2019",45.55,32875500,45.02,44.21,45.29,45.29
"Jun 18, 2019",46.95,63579000,45.74,44.51,44.95,44.95
"Jun 17, 2019",45.4,61584000,43.1,42.85,45.01,45.01
"Jun 14, 2019",43.33,37167000,42.25,42.08,42.98,42.98
"Jun 13, 2019",42.98,40841500,42.08,41.5,42.78,42.78
"Jun 12, 2019",44.68,75987500,44.59,41.8,41.85,41.85
"Jun 11, 2019",44.18,58267500,43.83,42.7,43.42,43.42
"Jun 10, 2019",43.39,52925000,42.05,41.8,42.58,42.58
"Jun 07, 2019",42.17,80017500,41,40.7,40.9,40.9
"Jun 06, 2019",42.2,101211000,40.89,40.36,41.19,41.19
"Jun 05, 2019",40.26,67554000,39.74,38.37,39.32,39.32
"Jun 04, 2019",38.8,69037500,36.22,35.92,38.72,38.72
"Jun 03, 2019",37.34,65322000,37.1,35.4,35.79,35.79
"May 31, 2019",37.98,52033500,37.02,36.82,37.03,37.03
"May 30, 2019",38.45,39632500,37.75,37.4,37.64,37.64
"May 29, 2019",38.48,59843000,37.42,37.01,37.97,37.97
"May 28, 2019",39,51564500,38.24,37.57,37.74,37.74
"May 24, 2019",40,70683000,39.97,37.75,38.13,38.13
"May 23, 2019",39.89,132735500,38.87,37.24,39.1,39.1
"May 22, 2019",40.79,93426000,39.82,38.36,38.55,38.55
"May 21, 2019",41.48,90019500,39.55,39.21,41.02,41.02
"May 20, 2019",41.2,102631000,40.56,39.05,41.07,41.07
"May 17, 2019",44.45,88933500,44.39,41.78,42.21,42.21
"May 16, 2019",46.2,37416500,45.9,45.3,45.67,45.67
"May 15, 2019",46.49,36480000,45.86,45.05,46.39,46.39
"May 14, 2019",46.9,36262000,45.86,45.6,46.46,46.46
"May 13, 2019",46.49,54174000,46.4,44.9,45.4,45.4
"May 10, 2019",48.4,35041500,47.95,47.2,47.9,47.9
"May 09, 2019",48.74,33557000,48.4,47.39,48.4,48.4
"May 08, 2019",50.12,30882000,49.39,48.84,48.97,48.97
"May 07, 2019",51.44,50657000,51.36,49.02,49.41,49.41
"May 06, 2019",51.67,54169500,50,49.7,51.07,51.07
"May 03, 2019",51.32,118534000,48.77,48.7,51.01,51.01
"May 02, 2019",49.43,90796500,49.1,47.54,48.82,48.82
"May 01, 2019",48,53522000,47.77,46.3,46.8,46.8
"Apr 30, 2019",48.84,47323000,48.41,47.4,47.74,47.74
"Apr 29, 2019",48.8,83572500,47.17,46.43,48.29,48.29
"Apr 26, 2019",49.34,111803500,49.3,46.23,47.03,47.03
"Apr 25, 2019",51.8,109247000,51,49.21,49.53,49.53
"Apr 24, 2019",53.06,53637500,52.77,51.6,51.73,51.73
"Apr 23, 2019",53.12,54719500,52.03,51.15,52.78,52.78
"Apr 22, 2019",53.94,60735500,53.8,52.5,52.55,52.55
"Apr 18, 2019",54.97,29381500,54.25,53.95,54.65,54.65
"Apr 17, 2019",54.96,25632500,54.95,53.71,54.25,54.25
"Apr 16, 2019",55,36364500,53.15,52.94,54.67,54.67
"Apr 15, 2019",53.78,50193000,53.73,51.73,53.28,53.28
"Apr 12, 2019",54.39,33730000,54.04,53.37,53.54,53.54
"Apr 11, 2019",54.1,49179500,53.66,53.12,53.68,53.68
"Apr 10, 2019",55.68,35306500,55.35,54.58,55.21,55.21
"Apr 09, 2019",55,29520000,54.33,53.92,54.46,54.46
"Apr 08, 2019",56.23,52052000,55.54,54.09,54.64,54.64
"Apr 05, 2019",55.22,65191500,53.97,53.22,54.99,54.99
"Apr 04, 2019",54.24,118603500,52.38,52.12,53.56,53.56
"Apr 03, 2019",59.23,39597000,57.46,57.43,58.36,58.36
"Apr 02, 2019",57.89,27394500,57.66,56.78,57.18,57.18
"Apr 01, 2019",57.84,40552000,56.52,56.26,57.84,57.84
"Mar 29, 2019",56.03,29956500,55.74,54.9,55.97,55.97
"Mar 28, 2019",56.07,33870500,55.43,55.02,55.72,55.72
"Mar 27, 2019",55.07,43896000,53.75,53.64,54.97,54.97
"Mar 26, 2019",54.05,36754500,52.89,52.89,53.55,53.55
"Mar 25, 2019",52.64,51075000,51.94,50.89,52.08,52.08
"Mar 22, 2019",54.56,43728000,54.52,52.8,52.91,52.91
"Mar 21, 2019",55.29,29735500,54.52,53.69,54.8,54.8
"Mar 20, 2019",54.99,34541000,53.94,53.26,54.72,54.72
"Mar 19, 2019",54.66,59003000,53.5,52.69,53.49,53.49
"Mar 18, 2019",55.61,51405000,55.2,53.46,53.9,53.9
"Mar 15, 2019",56.74,73927500,56.7,54.88,55.09,55.09
"Mar 14, 2019",59.08,35517000,58.49,57.66,57.99,57.99
"Mar 13, 2019",58.4,34223500,56.78,56.54,57.79,57.79
"Mar 12, 2019",57.61,37520500,57.3,56.21,56.67,56.67
"Mar 11, 2019",58.26,36961500,56.7,56.1,58.18,58.18
"Mar 08, 2019",57.12,44098000,55.38,55.18,56.83,56.83
"Mar 07, 2019",56.94,47212500,55.77,54.85,55.32,55.32
"Mar 06, 2019",56.3,51677500,55.3,54.88,55.25,55.25
"Mar 05, 2019",56.8,93823500,56.4,54.02,55.31,55.31
"Mar 04, 2019",59.8,85484000,59.62,56.56,57.07,57.07
"Mar 01, 2019",61.43,114557000,61.39,58.38,58.96,58.96
"Feb 28, 2019",64,52603500,63.78,62.16,63.98,63.98
"Feb 27, 2019",63.26,55919500,60.36,60.11,62.95,62.95
"Feb 26, 2019",60.4,42912500,58.44,57.75,59.57,59.57
"Feb 25, 2019",60.58,33132500,59.58,59.4,59.75,59.75
"Feb 22, 2019",59.3,28703000,58.9,58.42,58.94,58.94
"Feb 21, 2019",60.65,44546000,60.36,58.1,58.25,58.25
"Feb 20, 2019",61.26,35710500,60.88,59.8,60.51,60.51
"Feb 19, 2019",62.31,20842000,61.31,61.09,61.13,61.13
"Feb 15, 2019",61.6,19524500,60.9,60.78,61.58,61.58
"Feb 14, 2019",61.35,26004000,60.68,60.2,60.75,60.75
"Feb 13, 2019",62.55,25708000,62.47,61.11,61.63,61.63
"Feb 12, 2019",63.64,27588000,63.24,61.92,62.36,62.36
"Feb 11, 2019",63.72,35648500,62.32,62.1,62.57,62.57
"Feb 08, 2019",61.49,29221000,61.37,59.7,61.16,61.16
"Feb 07, 2019",62.94,32603000,62.66,60.6,61.5,61.5
"Feb 06, 2019",64.85,25192500,63.92,63.12,63.44,63.44
"Feb 05, 2019",64.49,33714000,62.5,62.45,64.27,64.27
"Feb 04, 2019",63.06,36760500,62.6,60.38,62.58,62.58
"Feb 01, 2019",63.22,36417000,61.08,60.7,62.44,62.44
"Jan 31, 2019",62.31,62846000,60.2,58.8,61.4,61.4
"Jan 30, 2019",61.8,56251500,60.09,59.7,61.75,61.75
"Jan 29, 2019",59.71,23108500,59.05,58.36,59.49,59.49
"Jan 28, 2019",59.49,32116500,58.58,57.55,59.28,59.28
"Jan 25, 2019",59.7,36248000,58.88,57.91,59.41,59.41
"Jan 24, 2019",58.74,40061000,56.61,55.86,58.3,58.3
"Jan 23, 2019",58.9,62650000,58.5,56.34,57.52,57.52
"Jan 22, 2019",61.6,60333500,60.96,59.1,59.78,59.78
"Jan 18, 2019",65.43,120754000,64.6,59.95,60.45,60.45
"Jan 17, 2019",70.3,18383500,69.24,68.83,69.46,69.46
"Jan 16, 2019",70.4,23458500,68.96,68.7,69.21,69.21
"Jan 15, 2019",69.76,30283000,67,66.9,68.89,68.89
"Jan 14, 2019",68.5,26236500,68.48,66.8,66.88,66.88
"Jan 11, 2019",69.68,25195500,68.42,67.75,69.45,69.45
"Jan 10, 2019",69.08,30282000,66.88,66.36,68.99,68.99
"Jan 09, 2019",68.7,27164500,67.1,66.29,67.71,67.71
"Jan 08, 2019",68.8,35042500,68.39,65.4,67.07,67.07
"Jan 07, 2019",67.35,37756000,64.34,63.55,66.99,66.99
"Jan 04, 2019",63.6,36970500,61.2,60.55,63.54,63.54
"Jan 03, 2019",61.88,34826000,61.4,59.48,60.07,60.07
"Jan 02, 2019",63.03,58293000,61.22,59.76,62.02,62.02
"Dec 31, 2018",67.84,31511500,67.56,65.05,66.56,66.56
"Dec 28, 2018",67.25,49695000,64.62,63.68,66.77,66.77
"Dec 27, 2018",64.43,42875500,63.97,60.3,63.23,63.23
"Dec 26, 2018",65.39,40815500,60,58.82,65.22,65.22
"Dec 24, 2018",62.9,27799500,62.7,59.04,59.08,59.08
"Dec 21, 2018",64.69,40084000,63.48,62.49,63.95,63.95
"Dec 20, 2018",66.06,45359500,65.41,62.37,63.08,63.08
"Dec 19, 2018",69.4,41371000,67.52,65.95,66.59,66.59
"Dec 18, 2018",70.31,35500000,70.11,66.74,67.41,67.41
"Dec 17, 2018",73.14,38370000,72.4,68.78,69.68,69.68
"Dec 14, 2018",75.57,31688000,75,72.87,73.14,73.14
"Dec 13, 2018",75.49,36829500,74.03,73.35,75.36,75.36
"Dec 12, 2018",74.38,25135000,73.88,73.03,73.32,73.32
"Dec 11, 2018",74.43,31544000,73.98,72.05,73.35,73.35
"Dec 10, 2018",73.2,33067500,72,70.62,73.03,73.03
"Dec 07, 2018",75.9,57556000,73.8,71.53,71.59,71.59
"Dec 06, 2018",73.48,39212500,71.2,70.15,72.61,72.61
"Dec 04, 2018",73.74,42309500,71.21,70.4,71.94,71.94
"Dec 03, 2018",73.2,41532500,72,70.4,71.7,71.7
"Nov 30, 2018",70.32,28145500,68.37,67.65,70.1,70.1
